appid,playtime_forever,playtime_2weeks,steam_account_ids,name,img_icon_url,has_community_visible_stats,capsule_filename,has_workshop,has_market,has_dlc,content_descriptorids,has_leaderboards,sort_as,playtime_hours
660160,0,0.0,76561199483779798,Field of Glory II,69e42fb6bde64f155cd5efc2f5c5a4642c18e9a4,True,library_600x900.jpg,False,False,True,,,,0.0
227700,26,0.0,76561198116491768,Firefall,9b00a74fea9759c7559e7e20a81b4f25bd0a61b4,True,portrait.png,False,False,True,,,,0.43
654310,0,0.0,76561198120249474,For Honor - Public Test,64dd8eca34f0b5faeda135f057da1973806852f2,,portrait.png,False,False,False,,,,0.0
334210,69,0.0,"76561198116491768, 76561198120249474",Fortified,535ed4d2687fbab89d9e60d8cd0fffd2cbeb4b4f,True,portrait.png,False,False,True,,,,1.15
301480,315,0.0,76561198116491768,GEARCRACK Arena,f21124ef54c8b3c9ef62fa7593e4ae53ad043017,,portrait.png,False,False,True,,,,5.25
202200,1,0.0,"76561198116491768, 76561198120249474",Galactic Civilizations II: Ultimate Edition,74ef4f8f1c2b4879a54bd93b95eec8f5d20f3727,True,139ab03e1dfc1c16b36b04a778672429ecdbcad1/library_capsule.jpg,False,False,True,,,,0.02
363480,0,0.0,76561198116491768,Grave Prosperity: Redux- part 1,7248da3f7dd02508039090a5b30e99134d59e9a6,,portrait.png,False,False,False,,,,0.0
252150,196,0.0,76561198116491768,Grimm,d9f47d9878d2242ac2b57491567eaa6290f13258,,library_600x900.jpg,False,False,True,,,,3.27
293540,18,0.0,"76561198116491768, 76561198120249474",Guns and Robots,52b85a957b75536edcea84dbf7b6d9769b5cc913,True,portrait.png,False,False,True,,,,0.3
608800,0,0.0,"76561198116491768, 76561198120249474",Guns of Icarus Alliance,d7f95f73cbed6458a74bcd4a7c0872fe332367ec,True,library_600x900.jpg,True,False,True,,,,0.0
209080,679,0.0,"76561198116491768, 76561198120249474",Guns of Icarus Online,968e8c0b7a55f0229392278123dfd486140c9421,True,library_600x900.jpg,True,False,True,,,,11.32
236870,562,0.0,"76561198116491768, 76561198120249474",HITMAN™,a4c559b6a3a7706d2f6c44a84e1daa8532bee741,True,library_600x900.jpg,False,False,True,"[2, 5]",,,9.37
365450,69,0.0,"76561198116491768, 76561198120249474",Hacknet,2445c4ead6ee47784a326922271ec1c0b41d64e2,True,library_600x900.jpg,True,False,True,[5],,,1.15
220,0,0.0,76561199483779798,Half-Life 2,fcfb366051782b8ebf2aa297f3b746395858cb62,True,ac2f074d790656a06ef8305bd54a6f64e9a70082/library_600x900.jpg,True,False,True,"[2, 5]",,,0.0
320,0,0.0,76561199483779798,Half-Life 2: Deathmatch,795e85364189511f4990861b578084deef086cb1,,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
360,0,0.0,76561199483779798,Half-Life Deathmatch: Source,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
1433340,0,0.0,76561199483779798,Happy's Humble Burger Farm,fce7f7d050591517802de41deff591e42d495601,True,ff79f47dcfaa76cbaf053ac40a5714017b6b53f5/library_capsule.jpg,False,False,True,[5],True,,0.0
422100,249,0.0,76561198120249474,Heaven Island Life,685998a7b9bd45ddd2344cd70912634e8038fc6f,,portrait.png,False,False,True,,,,4.15
55100,0,0.0,76561198116491768,Homefront,52d4f669d6aa00c92406457d430ed5aa6a035c54,True,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
383270,0,0.0,76561199483779798,Hue,48682a5e83cf7f011a15b68f460a972635742d06,True,library_600x900.jpg,False,False,True,,,,0.0
257730,18,0.0,"76561198116491768, 76561198120249474",Infinity Wars - Animated Trading Card Game,9592d2d68b3cac0cba30448745cdcd277d14a650,,773667ff4a36bd226292866d3c964d05b2396076/library_capsule.jpg,False,False,True,,,,0.3
31700,0,0.0,76561198116491768,Iron Grip: Warlord,9aa985a825f0c7f528c312126f182eada9e01b83,True,portrait.png,False,False,True,,True,,0.0
1703140,0,0.0,76561199483779798,Isle of Jura,56e2dd9001f5ec270f01115af28f47d8cd9bcbb1,True,library_600x900.jpg,False,False,False,,,,0.0
323580,291,0.0,76561198116491768,Jotun: Valhalla Edition,69b336a11a1e8acee4034b970a89c1df7cf53b32,True,library_600x900.jpg,False,False,True,,,,4.85
382120,301,0.0,76561198116491768,Journey To The Center Of The Earth,a014d6cdf709991a0aee4d36028fffa64a2d5870,,portrait.png,False,False,False,,,,5.02
261110,355,0.0,76561198116491768,Killer is Dead,4bb1ca7ca4ffa4be186bdf0d01d0f07c71283fd3,True,library_600x900.jpg,False,False,False,"[1, 2, 5]",,,5.92
1250,660,0.0,76561198116491768,Killing Floor,d8a2d777cb4c59cf06aa244166db232336520547,True,library_600x900.jpg,True,False,True,"[2, 5]",,,11.0
35420,0,0.0,76561198116491768,Killing Floor Mod: Defence Alliance 2,ae7580a60cf77b754c723c72d5e31d530fbe7804,True,portrait.png,False,False,False,,,,0.0
368230,803,0.0,"76561198116491768, 76561198120249474",Kingdom: Classic,0d741624c643448ff74741f50a4b80a24529b869,True,library_600x900.jpg,False,False,True,,,,13.38
391720,484,0.0,"76561198116491768, 76561198120249474",Layers of Fear (2016),0fc90b925c7bbdcc95df6599a01b80dff18e6bbb,True,library_600x900.jpg,False,False,True,[5],,,8.07
42120,0,0.0,76561198116491768,Lead and Gold - Gangs of the Wild West,56f97f9aa6cb5cb8880401dcf61ec556405c45ab,True,library_600x900.jpg,False,False,True,,True,,0.0
550,322,0.0,"76561198116491768, 76561198120249474",Left 4 Dead 2,7d5a243f9500d2f8467312822f8af2a2928777ed,True,library_600x900.jpg,True,False,True,"[2, 5]",,,5.37
1367080,185519,775.0,"76561199483779798, 76561198116491768",MOBILE SUIT GUNDAM BATTLE OPERATION 2,9809ee465efa9cdc158bdf5516758edc2b29344c,True,9c4a723d628445c91e24f1918e846045846910fb/library_capsule.jpg,False,False,True,,,,3091.98
1507190,0,0.0,76561199483779798,Machinika Museum,f4bb2176803e4b08c0da1032ea59d9a995ccff5b,,library_600x900.jpg,False,False,True,,,,0.0
2767030,589,0.0,76561199483779798,Marvel Rivals,839b4712925b95702ca56e0c4d399adf54f4d617,True,108a2d7bfd11ce1f5abe1abd9a51914bb494ced0/library_capsule.jpg,False,False,True,,,,9.82
2452280,584,0.0,76561199483779798,Mecha BREAK,9f7f1b2fce4b229fdd7c67aa78d825d4f3f42cb7,True,d335569799ffaeeb0b1bdf40d7465ed0ca6bf925/library_capsule.jpg,False,False,True,[5],,,9.73
489520,245,0.0,"76561199483779798, 76561198116491768",Minion Masters,ad87d123224d786a413a6021ddaf9257e26c0a28,True,library_600x900.jpg,False,False,True,,,,4.08
368420,622,0.0,"76561198116491768, 76561198120249474",Mirage: Arcane Warfare,c0b61f2a0d0499217b8b947eab1a995966dfe3c8,,portrait.png,False,False,True,,,,10.37
113020,4679,0.0,"76561198116491768, 76561198120249474",Monaco,169e693854d9f70984987fa3b6b5f1f9eb27122a,True,library_600x900.jpg,True,False,True,,True,,77.98
638070,69,0.0,"76561198116491768, 76561198120249474",Murderous Pursuits,5e7b5bfa87997037ace85ae60883309a8cb0ffbf,True,library_600x900.jpg,False,False,True,,True,,1.15
15700,569,0.0,76561198116491768,Oddworld: Abe's Oddysee,146cabd04a2e1a813085fbc4511c10ca01fac51b,,library_600x900.jpg,False,False,True,"[2, 5]",,Oddworld 1: Abe's Oddysee,9.48
